"participant_id","comments","stimulus_id","n","utterance","response"
"participant3","","S54-806",2.26,"C",0.247787610619469
"participant3","","S54-806",2.26,"A > C",0.29646017699115
"participant3","","S54-806",2.26,"C > A",0.238938053097345
"participant3","","S30-805-dep",1.47,"A",0.414965986394558
"participant3","","S30-805-dep",1.47,"C",0.163265306122449
"participant3","","S30-805-dep",1.47,"A > C",0.142857142857143
"participant3","","S30-805-dep",1.47,"C > A",0.27891156462585
"participant3","","S63-1039",1.3,"A",0.269230769230769
"participant3","","S63-1039",1.3,"C",0.261538461538462
"participant3","","S63-1039",1.3,"A > C",0.215384615384615
"participant3","","S63-1039",1.3,"C > A",0.253846153846154
"participant3","","S8-202",1.78,"A",0.258426966292135
"participant3","","S8-202",1.78,"C",0.280898876404494
"participant3","","S8-202",1.78,"A > C",0.151685393258427
"participant3","","S8-202",1.78,"C > A",0.308988764044944
"participant3","","S55-1006",1.9,"A",0.221052631578947
"participant3","","S55-1006",1.9,"C",0.363157894736842
"participant3","","S55-1006",1.9,"A > C",0.289473684210526
"participant3","","S55-1006",1.9,"C > A",0.126315789473684
"participant3","","S22-468",2.16,"A",0.310185185185185
"participant3","","S22-468",2.16,"C",0.236111111111111
"participant3","","S22-468",2.16,"A > C",0.217592592592593
"participant3","","S22-468",2.16,"C > A",0.236111111111111
"participant3","","S93-1674",1.94,"A",0.237113402061856
"participant3","","S93-1674",1.94,"C",0.371134020618557
"participant3","","S93-1674",1.94,"A > C",0.149484536082474
"participant3","","S93-1674",1.94,"C > A",0.242268041237113
"participant3","","S30-805",1.66,"A",0.234939759036145
"participant3","","S30-805",1.66,"C",0.246987951807229
"participant3","","S30-805",1.66,"A > C",0.234939759036145
"participant3","","S30-805",1.66,"C > A",0.283132530120482
"participant3","","S97-1674",1.82,"A",0.230769230769231
"participant3","","S97-1674",1.82,"C",0.236263736263736
"participant3","","S97-1674",1.82,"A > C",0.236263736263736
"participant3","","S97-1674",1.82,"C > A",0.296703296703297
"participant3","","S89-1642",2.17,"A",0.304147465437788
"participant3","","S89-1642",2.17,"C",0.244239631336406
"participant3","","S89-1642",2.17,"A > C",0.235023041474654
"participant3","","S89-1642",2.17,"C > A",0.216589861751152
"participant4","","S59-1007",2.28,"A",0.0614035087719298
"participant4","","S59-1007",2.28,"C",0.407894736842105
"participant4","","S59-1007",2.28,"A > C",0.43859649122807
"participant4","","S59-1007",2.28,"C > A",0.0921052631578947
"participant4","","S57-1007",3.2,"A",0.25625
"participant4","","S57-1007",3.2,"C",0.246875
"participant4","","S57-1007",3.2,"A > C",0.253125
"participant4","","S57-1007",3.2,"C > A",0.24375
"participant4","","S63-1039",3.66,"A",0.237704918032787
"participant4","","S63-1039",3.66,"C",0.23224043715847
"participant4","","S63-1039",3.66,"A > C",0.265027322404372
"participant4","","S63-1039",3.66,"C > A",0.265027322404372
"participant4","","S1-121",2.62,"A",0.297709923664122
"participant4","","S1-121",2.62,"C",0.297709923664122
"participant4","","S1-121",2.62,"A > C",0.175572519083969
"participant4","","S1-121",2.62,"C > A",0.229007633587786
"participant4","","S42-806",3.31,"A",0.229607250755287
"participant4","","S42-806",3.31,"C",0.223564954682779
"participant4","","S42-806",3.31,"A > C",0.244712990936556
"participant4","","S42-806",3.31,"C > A",0.302114803625378
"participant4","","S12-203",2.56,"A",0.2890625
"participant4","","S12-203",2.56,"C",0.30078125
"participant4","","S12-203",2.56,"A > C",0.23828125
"participant4","","S12-203",2.56,"C > A",0.171875
"participant4","","S30-805-dep",2.02,"A",0.455445544554455
