"participant_id","stimulus_id","utterance","response"
"participant13","S7-130-dep","C",1
"participant13","S7-130-dep","C > A",1
"participant13","S8-202","A",1
"participant13","S8-202","A > C",0.76
"participant13","S8-202","C",0.31
"participant13","S8-202","C > A",0.59
"participant13","S83-1609","A",0.87
"participant13","S83-1609","A > C",0.68
"participant13","S83-1609","C",0.55
"participant13","S83-1609","C > A",0.88
"participant13","S89-1642","A",0.91
"participant13","S89-1642","A > C",0.93
"participant13","S89-1642","C",0.83
"participant13","S89-1642","C > A",0.92
"participant13","S89-1642-dep","A",1
"participant13","S89-1642-dep","A > C",1
"participant13","S89-1642-dep","C",1
"participant13","S89-1642-dep","C > A",1
"participant13","S93-1674","A",0.96
"participant13","S93-1674","A > C",0.48
"participant13","S93-1674","C",1
"participant13","S93-1674","C > A",0.47
"participant13","S97-1674","A",0.84
"participant13","S97-1674","A > C",1
"participant13","S97-1674","C",0.97
"participant13","S97-1674","C > A",1
"participant14","S1-121","A",1
"participant14","S1-121","A > C",1
"participant14","S1-121","C",1
"participant14","S1-121","C > A",1
"participant14","S10-203","A",1
"participant14","S10-203","A > C",0.23
"participant14","S10-203","C",0.03
"participant14","S10-203","C > A",1
"participant14","S12-203","A",1
"participant14","S12-203","A > C",0.4
"participant14","S12-203","C",0.29
"participant14","S12-203","C > A",1
"participant14","S15-443","A",1
"participant14","S15-443","A > C",1
"participant14","S15-443","C",1
"participant14","S15-443","C > A",1
"participant14","S20-468","A",1
"participant14","S20-468","A > C",1
"participant14","S20-468","C",1
"participant14","S20-468","C > A",1
"participant14","S22-468","A",1
"participant14","S22-468","A > C",1
"participant14","S22-468","C",0.97
"participant14","S22-468","C > A",1
"participant14","S30-805","A",0.05
"participant14","S30-805","A > C",1
"participant14","S30-805","C",0.02
"participant14","S30-805","C > A",1
"participant14","S30-805-dep","A",0
"participant14","S30-805-dep","A > C",0
"participant14","S30-805-dep","C",0
"participant14","S30-805-dep","C > A",1
"participant14","S32-806","A",0
"participant14","S32-806","A > C",1
"participant14","S32-806","C",0
"participant14","S32-806","C > A",1
"participant14","S34-806","A",0.05
"participant14","S34-806","A > C",0
"participant14","S34-806","C",0.02
"participant14","S34-806","C > A",1
"participant14","S42-806","A",0
"participant14","S42-806","A > C",1
"participant14","S42-806","C",0
"participant14","S42-806","C > A",1
"participant14","S44-806","A",0.78
"participant14","S44-806","A > C",0.23
"participant14","S44-806","C",0.3
"participant14","S44-806","C > A",1
"participant14","S54-806","A",0.01
"participant14","S54-806","A > C",1
"participant14","S54-806","C",0.12
"participant14","S54-806","C > A",0.17
"participant14","S55-1006","A",0.31
"participant14","S55-1006","A > C",1
"participant14","S55-1006","C",0.93
"participant14","S55-1006","C > A",0.23
"participant14","S57-1007","A",0.03
"participant14","S57-1007","A > C",1
"participant14","S57-1007","C",0.96
"participant14","S57-1007","C > A",0.16
"participant14","S59-1007","A",0.14
"participant14","S59-1007","A > C",1
"participant14","S59-1007","C",0.97
"participant14","S59-1007","C > A",0.06
"participant14","S63-1039","A",0.88
"participant14","S63-1039","A > C",1
"participant14","S63-1039","C",0.97
"participant14","S63-1039","C > A",1
"participant14","S7-130","A",1
"participant14","S7-130","A > C",1
"participant14","S7-130","C",1
"participant14","S7-130","C > A",1
"participant14","S7-130-dep","A",1
"participant14","S7-130-dep","A > C",1
"participant14","S7-130-dep","C",1
"participant14","S7-130-dep","C > A",1
"participant14","S8-202","A",1
"participant14","S8-202","A > C",0.86
"participant14","S8-202","C",0.02
"participant14","S8-202","C > A",1
"participant14","S83-1609","A",1
"participant14","S83-1609","A > C",1
"participant14","S83-1609","C",1
"participant14","S83-1609","C > A",1
"participant14","S89-1642","A",1
"participant14","S89-1642","A > C",1
"participant14","S89-1642","C",1
"participant14","S89-1642","C > A",1
"participant14","S89-1642-dep","A",0.69
"participant14","S89-1642-dep","A > C",1
"participant14","S89-1642-dep","C",0.69
"participant14","S89-1642-dep","C > A",1
"participant14","S93-1674","A",1
"participant14","S93-1674","A > C",1
